项目名称,链接,描述,Stars,语言,Forks,最后更新
lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,一个基于 Electron 的音乐软件,48379,TypeScript,6613,2026-01-21T02:31:11Z
x64dbg,https://github.com/x64dbg/x64dbg,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,47594,C++,2659,2026-01-21T00:01:00Z
skills,https://github.com/anthropics/skills,Public repository for Agent Skills,46864,Python,4419,2026-01-21T02:31:17Z
chinese-independent-developer,https://github.com/1c7/chinese-independent-developer,👩🏿‍💻👨🏾‍💻👩🏼‍💻👨🏽‍💻👩🏻‍💻中国独立开发者项目列表 -- 分享大家都在做什么,46254,Unknown,3914,2026-01-21T02:12:10Z
freqtrade,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot",46068,Python,9579,2026-01-21T00:18:46Z
mem0,https://github.com/mem0ai/mem0,Universal memory layer for AI Agents,45748,Python,5013,2026-01-21T02:14:52Z
ClickHouse,https://github.com/ClickHouse/ClickHouse,ClickHouse® is a real-time analytics database management system,45321,C++,7996,2026-01-21T01:27:19Z
tldraw,https://github.com/tldraw/tldraw,very good whiteboard infinite canvas SDK,44708,TypeScript,2936,2026-01-21T02:13:52Z
TTS,https://github.com/coqui-ai/TTS,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",44304,Python,5923,2026-01-20T23:33:41Z
EasySpider,https://github.com/NaiboWang/EasySpider,A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。,43911,JavaScript,5383,2026-01-21T01:46:23Z
MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫,42983,Python,9492,2026-01-21T02:11:12Z
context7,https://github.com/upstash/context7,Context7 MCP Server -- Up-to-date code documentation for LLMs and AI code editors,42748,TypeScript,2060,2026-01-21T02:25:27Z
LocalAI,https://github.com/mudler/LocalAI,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more. Features: Generate Text, MCP, Audio, Video, Images, Voice Cloning, Distributed, P2P and decentralized inference",42217,Go,3460,2026-01-21T02:27:53Z
diagrams,https://github.com/mingrammer/diagrams,:art: Diagram as Code for prototyping cloud system architectures,41927,Python,2708,2026-01-21T01:12:14Z
fanqiang,https://github.com/bannedbook/fanqiang,翻墙-科学上网,41925,Kotlin,7557,2026-01-21T02:06:22Z
Umi-OCR,https://github.com/hiroi-sora/Umi-OCR,"OCR software, free and offline. 开源、免费的离线OCR软件。支持截屏/批量导入图片，PDF文档识别，排除水印/页眉页脚，扫描/生成二维码。内置多国语言库。",41571,Python,4118,2026-01-21T02:07:05Z
English-level-up-tips,https://github.com/byoungd/English-level-up-tips,An advanced guide to learn English which might benefit you a lot 🎉 .  离谱的英语学习指南/英语学习教程/英语学习/学英语,41260,Unknown,4385,2026-01-21T00:26:39Z
copyparty,https://github.com/9001/copyparty,"Portable file server with accelerated resumable uploads, dedup, WebDAV, SFTP, FTP, TFTP, zeroconf, media indexer, thumbnails++ all in one file",41223,Python,1693,2026-01-21T02:22:54Z
ChatGLM-6B,https://github.com/zai-org/ChatGLM-6B,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型,41223,Python,5216,2026-01-20T16:35:47Z
vue2-elm,https://github.com/bailicangdu/vue2-elm,Large single page application with 45 pages built on vue2 + vuex. 基于 vue2 + vuex 构建一个具有 45 个页面的大型单页面应用,41184,Vue,12359,2026-01-20T03:09:08Z
full-stack-fastapi-template,https://github.com/fastapi/full-stack-fastapi-template,"Full stack, modern web application template. Using FastAPI, React, SQLModel, PostgreSQL, Docker, GitHub Actions, automatic HTTPS and more.",40838,TypeScript,7945,2026-01-21T02:19:40Z
ccxt,https://github.com/ccxt/ccxt,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go ,40624,Python,8478,2026-01-21T02:28:23Z
bruno,https://github.com/usebruno/bruno,Opensource IDE For Exploring and Testing API's (lightweight alternative to Postman/Insomnia),40111,JavaScript,2065,2026-01-21T02:14:09Z
remote-jobs,https://github.com/remoteintech/remote-jobs,A list of semi to fully remote-friendly companies (jobs) in tech.,39948,Nunjucks,3923,2026-01-20T18:33:01Z
FastChat,https://github.com/lm-sys/FastChat,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",39373,Python,4773,2026-01-20T14:02:17Z
free,https://github.com/freefq/free,翻墙、免费翻墙、免费科学上网、免费节点、免费梯子、免费ss/v2ray/trojan节点、蓝灯、谷歌商店、翻墙梯子,39218,Unknown,5678,2026-01-21T02:26:38Z
quivr,https://github.com/QuivrHQ/quivr,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. ",38858,Python,3721,2026-01-21T02:14:12Z
mindsdb,https://github.com/mindsdb/mindsdb,Federated Query Engine for AI - The only MCP Server you'll ever need,38294,Python,6083,2026-01-21T01:47:50Z
minimind,https://github.com/jingyaogong/minimind,🚀🚀 「大模型」2小时完全从0训练26M的小参数GPT！🌏 Train a 26M-parameter GPT from scratch in just 2h!,37696,Python,4513,2026-01-21T02:20:13Z
aspnetcore,https://github.com/dotnet/aspnetcore,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",37609,C#,10553,2026-01-21T00:49:16Z
tutorials,https://github.com/eugenp/tutorials,Getting Started with Spring Boot 3: ,37334,Java,53901,2026-01-21T00:51:22Z
ToolJet,https://github.com/ToolJet/ToolJet,"ToolJet is the open-source foundation of ToolJet AI - the AI-native platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀",37298,JavaScript,4934,2026-01-20T18:40:59Z
taro,https://github.com/NervJS/taro,开放式跨端跨框架解决方案，支持使用 React/Vue 等框架来开发微信/京东/百度/支付宝/字节跳动/ QQ 小程序/H5/React Native 等应用。  https://taro.zone/,37241,TypeScript,4886,2026-01-20T14:49:10Z
Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ",37136,Python,6133,2026-01-20T16:04:22Z
JavaFamily,https://github.com/AobingJava/JavaFamily,【Java面试+Java学习指南】 一份涵盖大部分Java程序员所需要掌握的核心知识。,36843,Unknown,7808,2026-01-21T02:15:12Z
REKCARC-TSC-UHT,https://github.com/PKUanonym/REKCARC-TSC-UHT,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University",36497,HTML,7844,2026-01-21T02:30:36Z
supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,36354,Python,3079,2026-01-21T02:29:35Z
portainer,https://github.com/portainer/portainer,Making Docker and Kubernetes management easy.,36269,TypeScript,2756,2026-01-21T01:48:03Z
955.WLB,https://github.com/formulahendry/955.WLB,955 不加班的公司名单 - 工作 955，work–life balance (工作与生活的平衡),36081,Unknown,1755,2026-01-20T20:44:16Z
qlib,https://github.com/microsoft/qlib,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.",35830,Python,5574,2026-01-21T02:21:08Z
paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,"A community-supported supercharged document management system: scan, index and archive all your documents",35804,Python,2270,2026-01-21T02:17:27Z
vnpy,https://github.com/vnpy/vnpy,基于Python的开源量化交易平台开发框架,35663,Python,10718,2026-01-21T02:05:00Z
linux-command,https://github.com/jaywcjlove/linux-command,Linux命令大全搜索工具，内容包含Linux命令手册、详解、学习、搜集。https://git.io/linux,35379,Markdown,6575,2026-01-21T02:31:12Z
awesome-javascript,https://github.com/sorrycc/awesome-javascript,"🐢 A collection of awesome browser-side  JavaScript libraries, resources and shiny things.",34874,Unknown,4512,2026-01-20T06:41:02Z
BettaFish,https://github.com/666ghj/BettaFish,微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。,34746,Python,6695,2026-01-21T02:28:09Z
HowToLiveLonger,https://github.com/geekan/HowToLiveLonger,程序员延寿指南 | A programmer's guide to live longer,34664,Unknown,2372,2026-01-21T01:40:30Z
How-To-Ask-Questions-The-Smart-Way,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way,本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。,34428,JavaScript,5777,2026-01-21T02:29:14Z
TaskMatrix,https://github.com/chenfei-wu/TaskMatrix,暂无描述,34286,Python,3258,2026-01-20T00:55:30Z
nps,https://github.com/ehang-io/nps,"一款轻量级、高性能、功能强大的内网穿透代理服务器。支持tcp、udp、socks5、http等几乎所有流量转发，可用来访问内网网站、本地支付接口调试、ssh访问、远程桌面，内网dns解析、内网socks5代理等等……，并带有功能强大的web管理端。a lightweight, high-performance, powerful intranet penetration proxy server, with a powerful web management terminal.",33858,Go,6079,2026-01-20T08:49:59Z
AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,"🚀🚀🚀A faster, better and more stable Redis desktop manager [GUI client], compatible with Linux, Windows, Mac.",33808,JavaScript,2695,2026-01-21T02:24:42Z
gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,The first real AI developer,33747,Python,3499,2026-01-20T21:01:14Z
mpv,https://github.com/mpv-player/mpv,🎥 Command line media player,33678,C,3201,2026-01-21T02:05:16Z
everyone-can-use-english,https://github.com/ZuodaoTech/everyone-can-use-english,人人都能用英语,33299,TypeScript,4691,2026-01-21T02:12:14Z
filebrowser,https://github.com/filebrowser/filebrowser,📂 Web File Browser,33055,Go,3651,2026-01-21T02:19:03Z
1Panel,https://github.com/1Panel-dev/1Panel,"🔥 1Panel provides an intuitive web interface and MCP Server to manage websites, files, containers, databases, and LLMs on a Linux server.",32939,Go,2915,2026-01-21T01:41:50Z
ClashMetaForAndroid,https://github.com/MetaCubeX/ClashMetaForAndroid,A rule-based tunnel for Android.,32861,Kotlin,2190,2026-01-21T02:24:10Z
k9s,https://github.com/derailed/k9s,🐶 Kubernetes CLI To Manage Your Clusters In Style!,32541,Go,2053,2026-01-21T02:05:42Z
my-tv,https://github.com/lizongying/my-tv,我的电视 电视直播软件，安装即可使用,32209,C,3614,2026-01-20T19:37:24Z
cursor,https://github.com/cursor/cursor,The AI Code Editor,32088,Unknown,2185,2026-01-21T02:31:54Z
Data-Science-For-Beginners,https://github.com/microsoft/Data-Science-For-Beginners,"10 Weeks, 20 Lessons, Data Science for All!",31910,Jupyter Notebook,6772,2026-01-21T01:49:49Z
chatgpt-web,https://github.com/Chanzhaoyu/chatgpt-web,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,31872,Vue,11038,2026-01-20T14:15:41Z
html2canvas,https://github.com/niklasvh/html2canvas,Screenshots with JavaScript,31750,TypeScript,4883,2026-01-19T10:23:19Z
PDFMathTranslate,https://github.com/PDFMathTranslate/PDFMathTranslate,[EMNLP 2025 Demo] PDF scientific paper translation with preserved formats - 基于 AI 完整保留排版的 PDF 文档全文双语翻译，支持 Google/DeepL/Ollama/OpenAI 等服务，提供 CLI/GUI/MCP/Docker/Zotero,31395,Python,2824,2026-01-21T00:35:21Z
